dataset,lines,bytes,tool,trial,wall_s,cpu_s,peak_rss_kb,out_lines,exit,status,sha256
D_example_wb.25000,25000,7017292,xcull,1,0.280,0.279,3236,487,0,OK,b740f3c1a8d05abcd05eb774edea1685c2231e592c9278d74f4a63953115d9a5
D_example_wb.25000,25000,7017292,xcull,2,0.279,0.279,3088,487,0,OK,b740f3c1a8d05abcd05eb774edea1685c2231e592c9278d74f4a63953115d9a5
D_example_wb.25000,25000,7017292,xcull,3,0.280,0.280,3300,487,0,OK,b740f3c1a8d05abcd05eb774edea1685c2231e592c9278d74f4a63953115d9a5
D_example_wb.25000,25000,7017292,xcull,4,0.279,0.279,3116,487,0,OK,b740f3c1a8d05abcd05eb774edea1685c2231e592c9278d74f4a63953115d9a5
D_example_wb.25000,25000,7017292,xcull,5,0.287,0.287,3228,487,0,OK,b740f3c1a8d05abcd05eb774edea1685c2231e592c9278d74f4a63953115d9a5
D_example_wb.25000,25000,7017292,xcull,6,0.293,0.293,3124,487,0,OK,b740f3c1a8d05abcd05eb774edea1685c2231e592c9278d74f4a63953115d9a5
D_example_wb.25000,25000,7017292,xcull,7,0.290,0.290,3308,487,0,OK,b740f3c1a8d05abcd05eb774edea1685c2231e592c9278d74f4a63953115d9a5
D_example_wb.25000,25000,7017292,xcull,8,0.285,0.285,3204,487,0,OK,b740f3c1a8d05abcd05eb774edea1685c2231e592c9278d74f4a63953115d9a5
D_example_wb.25000,25000,7017292,xcull,9,0.287,0.287,3120,487,0,OK,b740f3c1a8d05abcd05eb774edea1685c2231e592c9278d74f4a63953115d9a5
D_example_wb.25000,25000,7017292,xcull,10,0.285,0.284,3300,487,0,OK,b740f3c1a8d05abcd05eb774edea1685c2231e592c9278d74f4a63953115d9a5
D_example_wb.25000,25000,7017292,uro,1,1.023,1.022,17760,586,0,OK,125eb20ce506fbdc8b7f34063179efdb7f5a85069db42b9a900a053e3ec69048
D_example_wb.25000,25000,7017292,uro,2,1.001,1.001,17840,586,0,OK,125eb20ce506fbdc8b7f34063179efdb7f5a85069db42b9a900a053e3ec69048
D_example_wb.25000,25000,7017292,uro,3,1.016,1.016,17732,586,0,OK,125eb20ce506fbdc8b7f34063179efdb7f5a85069db42b9a900a053e3ec69048
D_example_wb.25000,25000,7017292,uro,4,1.003,1.003,17868,586,0,OK,125eb20ce506fbdc8b7f34063179efdb7f5a85069db42b9a900a053e3ec69048
D_example_wb.25000,25000,7017292,uro,5,0.994,0.993,17880,586,0,OK,125eb20ce506fbdc8b7f34063179efdb7f5a85069db42b9a900a053e3ec69048
D_example_wb.25000,25000,7017292,uro,6,1.043,1.043,17952,586,0,OK,125eb20ce506fbdc8b7f34063179efdb7f5a85069db42b9a900a053e3ec69048
D_example_wb.25000,25000,7017292,uro,7,1.008,1.008,17720,586,0,OK,125eb20ce506fbdc8b7f34063179efdb7f5a85069db42b9a900a053e3ec69048
D_example_wb.25000,25000,7017292,uro,8,1.057,1.057,17680,586,0,OK,125eb20ce506fbdc8b7f34063179efdb7f5a85069db42b9a900a053e3ec69048
D_example_wb.25000,25000,7017292,uro,9,1.006,1.005,17692,586,0,OK,125eb20ce506fbdc8b7f34063179efdb7f5a85069db42b9a900a053e3ec69048
D_example_wb.25000,25000,7017292,uro,10,0.990,0.990,17720,586,0,OK,125eb20ce506fbdc8b7f34063179efdb7f5a85069db42b9a900a053e3ec69048
D_example_wb.25000,25000,7017292,urldedupe,1,0.346,0.346,18012,3376,0,OK,39ec79910651023b3f2ddbd22bd4d4f55249633a659ca63faa4a8e42418ac652
D_example_wb.25000,25000,7017292,urldedupe,2,0.349,0.349,18064,3376,0,OK,39ec79910651023b3f2ddbd22bd4d4f55249633a659ca63faa4a8e42418ac652
D_example_wb.25000,25000,7017292,urldedupe,3,0.360,0.360,18072,3376,0,OK,39ec79910651023b3f2ddbd22bd4d4f55249633a659ca63faa4a8e42418ac652
D_example_wb.25000,25000,7017292,urldedupe,4,0.353,0.353,18072,3376,0,OK,39ec79910651023b3f2ddbd22bd4d4f55249633a659ca63faa4a8e42418ac652
D_example_wb.25000,25000,7017292,urldedupe,5,0.360,0.360,18000,3376,0,OK,39ec79910651023b3f2ddbd22bd4d4f55249633a659ca63faa4a8e42418ac652
D_example_wb.25000,25000,7017292,urldedupe,6,0.467,0.467,18068,3376,0,OK,39ec79910651023b3f2ddbd22bd4d4f55249633a659ca63faa4a8e42418ac652
D_example_wb.25000,25000,7017292,urldedupe,7,0.353,0.353,18008,3376,0,OK,39ec79910651023b3f2ddbd22bd4d4f55249633a659ca63faa4a8e42418ac652
D_example_wb.25000,25000,7017292,urldedupe,8,0.353,0.352,17996,3376,0,OK,39ec79910651023b3f2ddbd22bd4d4f55249633a659ca63faa4a8e42418ac652
D_example_wb.25000,25000,7017292,urldedupe,9,0.388,0.388,17992,3376,0,OK,39ec79910651023b3f2ddbd22bd4d4f55249633a659ca63faa4a8e42418ac652
D_example_wb.25000,25000,7017292,urldedupe,10,0.444,0.444,17984,3376,0,OK,39ec79910651023b3f2ddbd22bd4d4f55249633a659ca63faa4a8e42418ac652
D_example_wb.25000,25000,7017292,urless,1,2.055,2.054,30800,633,0,OK,2812cbf39b76f56faceddea45629b1e66ad7fd8641b689cf17665050b130caeb
D_example_wb.25000,25000,7017292,urless,2,1.394,1.393,30824,633,0,OK,2812cbf39b76f56faceddea45629b1e66ad7fd8641b689cf17665050b130caeb
D_example_wb.25000,25000,7017292,urless,3,1.182,1.181,30780,633,0,OK,2812cbf39b76f56faceddea45629b1e66ad7fd8641b689cf17665050b130caeb
D_example_wb.25000,25000,7017292,urless,4,1.180,1.180,30820,633,0,OK,2812cbf39b76f56faceddea45629b1e66ad7fd8641b689cf17665050b130caeb
D_example_wb.25000,25000,7017292,urless,5,1.203,1.203,30800,633,0,OK,2812cbf39b76f56faceddea45629b1e66ad7fd8641b689cf17665050b130caeb
