corpus,input_lines,tool,output_lines,wall_s,cpu_s,peak_rss_mb,throughput_urls_s,surface_recall_macro,note
D_example_wb.full,781398,xcull,129411,2.87,2.86,23.0,272264,0.835,xcull v20 default (bare-fold)
D_example_wb.full,781398,urldedupe,293420,4.92,4.92,335.9,158820,1.000,near-passthrough
D_example_wb.full,781398,uro,78470,17.48,17.47,34.9,44702,0.629,
D_example_wb.full,781398,urless,74737,75.06,75.01,45.2,10410,0.674,
D_example_wb.full,781398,uddup,,,,,,,DNF >900s O(n^2)
D_example_gau.full,44943,xcull,4990,0.16,0.16,4.4,280893,0.969,xcull v20 default (bare-fold)
D_example_gau.full,44943,urldedupe,41657,0.21,0.21,21.8,214014,1.000,near-passthrough
D_example_gau.full,44943,uro,4048,0.55,0.55,18.7,81714,0.746,
D_example_gau.full,44943,urless,5228,0.62,0.62,31.2,72488,0.746,
D_example_gau.full,44943,uddup,13096,81.50,81.50,18.7,551,0.738,v19 epoch (O(n^2); tool unchanged)
D_vulnweb.full,15185,xcull,1346,0.02,0.02,3.8,759250,0.945,xcull v20 default (bare-fold)
D_vulnweb.full,15185,urldedupe,4052,0.03,0.03,7.2,506166,1.000,near-passthrough
D_vulnweb.full,15185,uro,2362,0.22,0.22,17.2,69022,0.859,
D_vulnweb.full,15185,urless,3416,0.88,0.88,30.5,17255,1.000,
D_vulnweb.full,15185,uddup,13684,4.81,4.81,18.9,3157,0.577,v19 epoch (O(n^2); tool unchanged)
D_synth.full,45410,xcull,15269,0.10,0.10,5.1,454100,0.9961,controlled ground truth; byte-identical to v19
D_synth.full,45410,urldedupe,25415,0.13,0.13,15.5,349307,1.000,near-passthrough
D_synth.full,45410,uro,5310,0.54,0.54,17.6,84092,0.8307,
D_synth.full,45410,urless,5311,0.63,0.63,30.6,72079,0.9140,
D_synth.full,45410,uddup,20322,139.11,139.11,21.8,326,0.8570,v19 epoch (O(n^2); tool unchanged)
# xcull v20 stability at scale (de-id wb replicated; distinct surface constant, so peak RAM stays flat):
#   781398=22MB/259k_per_s  1562796=22MB/263k_per_s  3125592=22MB/266k_per_s  6251184=22MB/260k_per_s
# xcull v20 peak RAM by input slice (Wayback head-prefixes): 25k=3.3 50k=3.6 100k=3.9 200k=3.9 400k=3.9 781k=22.7 MB
# xcull v20 on the raw 1.1M apple wayback corpus (genuinely distinct surface): 1,104,691 URLs -> 40.4 MB / 3.86 s
# false-merge rate (synth ground truth, = 1 - macro_recall): xcull 0.39%  urldedupe 0%* (*near-passthrough)  urless 8.60%  uddup 14.30%  uro 16.93%
# peak RAM rank (lowest best): xcull 23.0 < uro 34.9 < urless 45.2 < urldedupe 335.9 ; uddup DNF
# throughput rank (highest best): xcull 272k > urldedupe 159k* > uro 45k > urless 10k ; uddup DNF (*near-passthrough)
# measurement: this machine, pinned core 2, page cache primed, best-of-3 wall (headline + smaller corpora re-measured fresh in the v20 epoch)
# competitor coverage (surface_recall_macro) is unchanged across xcull versions; xcull v20 coverage is byte-for-byte identical to v19 (bare-fold removes only redundant lines, every folded class keeps a decorated survivor)
