tool,klass,tp,fn,fp,precision,recall,f1
udud,CACHE_BUST,1,0,0,1.0000,1.0000,1.0000
udud,GENUINE_DISTINCT,181,9,0,1.0000,0.9526,0.9757
udud,HEX_HASH,1,0,4983,0.0002,1.0000,0.0004
udud,JSESSIONID,1,0,4998,0.0002,1.0000,0.0004
udud,LFI_PARAM,1,0,0,1.0000,1.0000,1.0000
udud,NUMERIC_ID,1,0,0,1.0000,1.0000,1.0000
udud,OPEN_REDIRECT,1,0,0,1.0000,1.0000,1.0000
udud,PARAM_ORDER,1,0,0,1.0000,1.0000,1.0000
udud,SRCDISC,20,0,0,1.0000,1.0000,1.0000
udud,TITLE_SLUG,1,0,0,1.0000,1.0000,1.0000
udud,TRAILING_SLASH,100,0,0,1.0000,1.0000,1.0000
udud,UUID,1,0,4976,0.0002,1.0000,0.0004
uro,CACHE_BUST,1,0,0,1.0000,1.0000,1.0000
uro,GENUINE_DISTINCT,184,6,0,1.0000,0.9684,0.9840
uro,HEX_HASH,1,0,4999,0.0002,1.0000,0.0004
uro,JSESSIONID,1,0,0,1.0000,1.0000,1.0000
uro,LFI_PARAM,1,0,0,1.0000,1.0000,1.0000
uro,NUMERIC_ID,1,0,0,1.0000,1.0000,1.0000
uro,OPEN_REDIRECT,1,0,0,1.0000,1.0000,1.0000
uro,PARAM_ORDER,1,0,0,1.0000,1.0000,1.0000
uro,SRCDISC,20,0,0,1.0000,1.0000,1.0000
uro,TITLE_SLUG,0,1,0,0.0000,0.0000,0.0000
uro,TRAILING_SLASH,100,0,0,1.0000,1.0000,1.0000
uro,UUID,0,1,0,0.0000,0.0000,0.0000
urldedupe,CACHE_BUST,1,0,0,1.0000,1.0000,1.0000
urldedupe,GENUINE_DISTINCT,190,0,0,1.0000,1.0000,1.0000
urldedupe,HEX_HASH,1,0,4999,0.0002,1.0000,0.0004
urldedupe,JSESSIONID,1,0,4999,0.0002,1.0000,0.0004
urldedupe,LFI_PARAM,1,0,0,1.0000,1.0000,1.0000
urldedupe,NUMERIC_ID,1,0,4999,0.0002,1.0000,0.0004
urldedupe,OPEN_REDIRECT,1,0,0,1.0000,1.0000,1.0000
urldedupe,PARAM_ORDER,1,0,1,0.5000,1.0000,0.6667
urldedupe,SRCDISC,20,0,0,1.0000,1.0000,1.0000
urldedupe,TITLE_SLUG,1,0,4999,0.0002,1.0000,0.0004
urldedupe,TRAILING_SLASH,100,0,100,0.5000,1.0000,0.6667
urldedupe,UUID,1,0,4999,0.0002,1.0000,0.0004
urless,CACHE_BUST,1,0,0,1.0000,1.0000,1.0000
urless,GENUINE_DISTINCT,184,6,0,1.0000,0.9684,0.9840
urless,HEX_HASH,1,0,4999,0.0002,1.0000,0.0004
urless,JSESSIONID,1,0,0,1.0000,1.0000,1.0000
urless,LFI_PARAM,1,0,0,1.0000,1.0000,1.0000
urless,NUMERIC_ID,1,0,0,1.0000,1.0000,1.0000
urless,OPEN_REDIRECT,1,0,0,1.0000,1.0000,1.0000
urless,PARAM_ORDER,1,0,0,1.0000,1.0000,1.0000
urless,SRCDISC,20,0,0,1.0000,1.0000,1.0000
urless,TITLE_SLUG,0,1,0,0.0000,0.0000,0.0000
urless,TRAILING_SLASH,100,0,0,1.0000,1.0000,1.0000
urless,UUID,1,0,0,1.0000,1.0000,1.0000
uddup,CACHE_BUST,0,1,0,0.0000,0.0000,0.0000
uddup,GENUINE_DISTINCT,92,98,0,1.0000,0.4842,0.6525
uddup,HEX_HASH,1,0,0,1.0000,1.0000,1.0000
uddup,JSESSIONID,1,0,4999,0.0002,1.0000,0.0004
uddup,LFI_PARAM,1,0,4999,0.0002,1.0000,0.0004
uddup,NUMERIC_ID,1,0,0,1.0000,1.0000,1.0000
uddup,OPEN_REDIRECT,1,0,4999,0.0002,1.0000,0.0004
uddup,PARAM_ORDER,1,0,4999,0.0002,1.0000,0.0004
uddup,SRCDISC,16,4,0,1.0000,0.8000,0.8889
uddup,TITLE_SLUG,1,0,0,1.0000,1.0000,1.0000
uddup,TRAILING_SLASH,100,0,100,0.5000,1.0000,0.6667
uddup,UUID,1,0,0,1.0000,1.0000,1.0000
