tool,klass,enumerable,tp,fn,fp,precision,recall,f1
udud,CACHE_BUST,no,250,0,0,1.0000,1.0000,1.0000
udud,GENUINE_DISTINCT,no,50000,0,0,1.0000,1.0000,1.0000
udud,HEX_HASH,yes,9979,21,0,1.0000,0.9979,0.9989
udud,JSESSIONID,yes,4998,2,0,1.0000,0.9996,0.9998
udud,LFI_PARAM,no,50,0,0,1.0000,1.0000,1.0000
udud,NUMERIC_ID,no,30,0,29970,0.0010,1.0000,0.0020
udud,OPEN_REDIRECT,no,50,0,0,1.0000,1.0000,1.0000
udud,PARAM_ORDER,no,50,0,0,1.0000,1.0000,1.0000
udud,SRCDISC,no,200,0,0,1.0000,1.0000,1.0000
udud,TITLE_SLUG,no,260,0,0,1.0000,1.0000,1.0000
udud,TRAILING_SLASH,no,5000,0,0,1.0000,1.0000,1.0000
udud,UUID,yes,14927,73,0,1.0000,0.9951,0.9976
uro,CACHE_BUST,no,250,0,0,1.0000,1.0000,1.0000
uro,GENUINE_DISTINCT,no,49034,966,0,1.0000,0.9807,0.9902
uro,HEX_HASH,yes,10000,0,0,1.0000,1.0000,1.0000
uro,JSESSIONID,yes,0,5000,0,0.0000,0.0000,0.0000
uro,LFI_PARAM,no,50,0,0,1.0000,1.0000,1.0000
uro,NUMERIC_ID,no,28,2,0,1.0000,0.9333,0.9655
uro,OPEN_REDIRECT,no,50,0,0,1.0000,1.0000,1.0000
uro,PARAM_ORDER,no,50,0,0,1.0000,1.0000,1.0000
uro,SRCDISC,no,200,0,0,1.0000,1.0000,1.0000
uro,TITLE_SLUG,no,0,260,0,0.0000,0.0000,0.0000
uro,TRAILING_SLASH,no,5000,0,0,1.0000,1.0000,1.0000
uro,UUID,yes,0,15000,0,0.0000,0.0000,0.0000
urldedupe,CACHE_BUST,no,250,0,0,1.0000,1.0000,1.0000
urldedupe,GENUINE_DISTINCT,no,50000,0,0,1.0000,1.0000,1.0000
urldedupe,HEX_HASH,yes,10000,0,0,1.0000,1.0000,1.0000
urldedupe,JSESSIONID,yes,5000,0,0,1.0000,1.0000,1.0000
urldedupe,LFI_PARAM,no,50,0,0,1.0000,1.0000,1.0000
urldedupe,NUMERIC_ID,no,30,0,29970,0.0010,1.0000,0.0020
urldedupe,OPEN_REDIRECT,no,50,0,0,1.0000,1.0000,1.0000
urldedupe,PARAM_ORDER,no,50,0,50,0.5000,1.0000,0.6667
urldedupe,SRCDISC,no,200,0,0,1.0000,1.0000,1.0000
urldedupe,TITLE_SLUG,no,260,0,259740,0.0010,1.0000,0.0020
urldedupe,TRAILING_SLASH,no,5000,0,5000,0.5000,1.0000,0.6667
urldedupe,UUID,yes,15000,0,0,1.0000,1.0000,1.0000
urless,CACHE_BUST,no,250,0,0,1.0000,1.0000,1.0000
urless,GENUINE_DISTINCT,no,48488,1512,0,1.0000,0.9698,0.9846
urless,HEX_HASH,yes,10000,0,0,1.0000,1.0000,1.0000
urless,JSESSIONID,yes,0,5000,0,0.0000,0.0000,0.0000
urless,LFI_PARAM,no,50,0,0,1.0000,1.0000,1.0000
urless,NUMERIC_ID,no,30,0,0,1.0000,1.0000,1.0000
urless,OPEN_REDIRECT,no,50,0,0,1.0000,1.0000,1.0000
urless,PARAM_ORDER,no,50,0,0,1.0000,1.0000,1.0000
urless,SRCDISC,no,200,0,0,1.0000,1.0000,1.0000
urless,TITLE_SLUG,no,0,260,0,0.0000,0.0000,0.0000
urless,TRAILING_SLASH,no,5000,0,0,1.0000,1.0000,1.0000
urless,UUID,yes,15,14985,0,1.0000,0.0010,0.0020
