dataset,tool,as_macro_f1,classes_excluded
D_vulnweb.full,udud,0.9391,host
D_vulnweb.full,uro,0.8058,host
D_vulnweb.full,urldedupe,0.6931,host
D_vulnweb.full,urless,0.7087,host
D_vulnweb.full,uddup,0.2448,host
D_example_gau.full,udud,0.6904,host
D_example_gau.full,uro,0.6629,host
D_example_gau.full,urldedupe,0.7119,host
D_example_gau.full,urless,0.6629,host
D_example_gau.full,uddup,0.4659,host
D_example_wb.full,udud,0.6651,host
D_example_wb.full,uro,0.5725,host
D_example_wb.full,urldedupe,0.7053,host
D_example_wb.full,urless,0.5846,host
D_example_wb.full,uddup,DNF,host
