dataset,tool,status,tp,fn,fp,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
D_example_wb.full,udud,OK,59041,639,177135,0.25,0.9893,0.3991,0.5823,0.8353,0.5554
D_example_wb.full,uro,OK,8386,51294,77850,0.0972,0.1405,0.1149,0.612,0.6291,0.479
D_example_wb.full,urldedupe,OK,59680,0,370431,0.1388,1.0,0.2437,0.5399,1.0,0.5883
D_example_wb.full,urless,OK,8438,51242,74273,0.102,0.1414,0.1185,0.5928,0.6737,0.4892
D_example_wb.full,uddup,DNF,,,,,,,,,
D_vulnweb.full,udud,OK,213,15,1287,0.142,0.9342,0.2465,0.7644,0.9446,0.7824
D_vulnweb.full,uro,OK,194,34,1883,0.0934,0.8509,0.1683,0.7222,0.8589,0.6685
D_vulnweb.full,urldedupe,OK,228,0,3765,0.0571,1.0,0.108,0.4834,1.0,0.5679
D_vulnweb.full,urless,OK,228,0,3148,0.0675,1.0,0.1265,0.5036,1.0,0.583
D_vulnweb.full,uddup,OK,110,118,13003,0.0084,0.4825,0.0165,0.2222,0.5769,0.1979
D_example_gau.full,udud,OK,574,56,5157,0.1002,0.9111,0.1805,0.5245,0.9687,0.5294
D_example_gau.full,uro,OK,627,3,3748,0.1433,0.9952,0.2505,0.507,0.7455,0.5128
D_example_gau.full,urldedupe,OK,630,0,41370,0.015,1.0,0.0296,0.5182,1.0,0.5354
D_example_gau.full,urless,OK,627,3,4924,0.113,0.9952,0.2029,0.5051,0.7455,0.5093
D_example_gau.full,uddup,OK,568,62,12735,0.0427,0.9016,0.0815,0.3137,0.738,0.354
